condition,alpha1,alpha2,lmbd,beta1,beta2,p,w
abstract,0.00190787,0.629461,0.000267462,20.0,4.90633,0.07927,0.366119
story,0.16164,0.874097,0.668488,9.21369,2.79322,0.0811511,0.659218
