condition,alpha1,alpha2,lmbd,beta1,beta2,p,w0,k
abstract,0.842905,0.515489,0.411878,3.86079,2.79967,0.293083,0.750315,0.300287
story,0.597604,0.782511,0.209736,3.42519,2.09257,0.146675,0.143012,0.107287
