condition,alpha1,alpha2,lmbd,beta1,beta2,p,w,log_lik,AIC,BIC
abstract,0.212345,0.543359,0.445617,5.57894,2.71777,0.185575,0.54806,-7392.99,14799.98,14848.095256710843
story,0.0741181,0.809203,0.632239,5.41482,2.03808,0.0857267,0.582671,-7796.45,15606.9,15654.704584483123
