participant,condition,trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward
1,story,0,1,0.7470411901076409,0.5870568941481651,0.4449230921247802,0.4856660855846114,2,1,1.5758974756136013,2,2,2,1,1.5041446291297689,2,0
1,story,1,1,0.7424893014407529,0.607044786471219,0.4142803490039269,0.4854865664125301,1,2,1.286925199592588,2,2,1,2,1.5000007533772075,1,0
1,story,2,1,0.7384721291589545,0.6057557011058692,0.416242299354018,0.5127700958512015,1,2,0.960473313723014,1,1,2,1,1.4274167812054657,2,1
1,story,3,1,0.7141902141395298,0.5936332747210524,0.4675237804732149,0.5428724363058689,1,2,0.7251719282030535,1,1,2,1,0.6890667796533307,2,0
1,story,4,1,0.7115266833046592,0.5302426022197961,0.450061787042765,0.5292156088069511,2,1,0.8211006478741183,1,1,1,2,1.2298607969951263,1,1
1,story,6,1,0.7070450326060107,0.5290130722029075,0.456000303431453,0.5540866558583043,2,1,0.9312232946622316,1,1,1,2,0.7319896901844913,1,1
1,story,7,1,0.6643376174099735,0.4955316180445966,0.4286166135204594,0.5612982247902327,1,2,0.9009309029579526,1,1,1,2,0.6963398827920173,1,1
1,story,8,1,0.6488494439289691,0.476302272696909,0.4474783916894303,0.565248136011553,2,1,0.9331772536752396,1,1,1,2,0.70790603036221,1,1
1,story,9,1,0.6943345661376451,0.502194982541854,0.463013072934761,0.5070141759069049,2,1,1.1281054583378136,1,1,1,2,0.6347549158617767,1,0
1,story,10,1,0.6942564038114907,0.4747580094752637,0.4665383196034874,0.5000437789059675,2,1,0.7699870208189168,1,1,2,1,0.766702597735275,2,0
1,story,11,1,0.7240129544548015,0.4981027733331826,0.4849719669973028,0.5198473356015421,1,2,0.9861502155708876,2,2,1,2,1.01574045975849,2,1
1,story,12,1,0.7364656385729401,0.4776349234576702,0.5237859491407566,0.5232120905118705,1,2,0.8438830746590611,2,2,1,2,0.8146704231057811,2,1
1,story,13,0,0.7165269798899839,0.4852006276526192,0.5524390390280958,0.5414747066461728,2,1,1.4203736087756624,2,1,2,1,1.435968516067078,2,1
1,story,14,1,0.7062284552334448,0.4761579330171326,0.5702351871516352,0.5325775282829235,2,1,0.828479525167495,1,1,1,2,0.8939293169496523,2,1
1,story,15,1,0.6735154167444302,0.4737749020961095,0.5649231306008744,0.5170952361148546,1,2,0.6827498628099421,1,1,1,2,0.5840469070699328,2,0
1,story,16,1,0.6660260925651653,0.4536355285279738,0.6060534020787974,0.5065821746146248,2,1,0.6932233121415265,2,2,2,1,0.6119284918504491,2,1
1,story,17,1,0.6268414212096354,0.4439629376723562,0.6125586345517579,0.4785896565882646,1,2,1.2651058901737997,2,2,2,1,0.7390220139823214,2,0
1,story,18,1,0.6518204525957612,0.4508472186280575,0.5722891760796254,0.4731431499247234,2,1,0.9460533734572892,2,2,2,1,0.8407872972175028,1,0
1,story,19,1,0.7016092012609297,0.4865688683728054,0.5791569830154605,0.5074915874346823,2,1,1.1956427075647298,2,2,2,1,0.6409021721665339,2,0
1,story,20,1,0.7209219763193385,0.4640798181542409,0.5572641919377053,0.5095012142497891,1,2,1.1062680678678591,1,1,2,1,0.9139968737854358,1,0
1,story,21,0,0.6971553168458566,0.4361210007493046,0.5992315637189776,0.4965996087492148,2,1,0.7061494561667132,1,2,2,1,1.384444449131479,2,1
1,story,22,0,0.6861510364058034,0.382162655950709,0.6351137206367979,0.488189154347586,1,2,0.7063483477377304,2,1,2,1,1.1244940695660262,2,0
1,story,23,1,0.7199866859309415,0.3860100365452093,0.6707360992538819,0.488032006334854,2,1,1.029175886746998,2,2,2,1,0.7818322192888445,2,0
1,story,24,1,0.7469080016567801,0.3944009921438196,0.5923134308052296,0.5194044545192951,2,1,0.7194968887024515,1,1,1,2,1.3647520741224068,1,1
1,story,25,0,0.7407947688617733,0.4152827420589151,0.6107014218249605,0.5615770303567791,2,1,0.7858953330096483,1,2,2,1,1.2492042077019505,1,1
1,story,26,1,0.7412388914042242,0.447736144778224,0.6368638101699615,0.5983460783748671,2,1,0.6231773169592998,2,2,2,1,0.5896146656614292,1,0
1,story,27,1,0.743788155641767,0.4835174719675128,0.6406226659877297,0.6187325147126569,2,1,0.5592565794695474,1,1,2,1,1.011047221379158,1,1
1,story,28,1,0.7112782145767522,0.465828198918214,0.6056914365221915,0.6023363339429184,1,2,0.6623845713174887,1,1,2,1,0.6361363082287426,1,1
1,story,29,1,0.7169154795475909,0.4465573461088761,0.6093675829272592,0.5985885120664887,1,2,0.9718679926509141,1,1,2,1,0.6812123706940838,1,0
1,story,30,1,0.7036705466342736,0.4963432774858311,0.6137874241729196,0.6156217388459841,1,2,0.6372033916441069,1,1,2,1,0.658039393188119,2,0
